Index,GPU,ProblemSize,ThreadsPerBlock,NumBlocks,Alignment,Operation,Avg_SingleThreadTime(sec),Avg_KernelTime(sec),Avg_Speedup
1,GPU_2,1014,568,4,bad,addition,5.335216,0.023615999999999998,222.47
2,GPU_2,1027,480,5,good,addition,3.24376,0.022336,145.225
3,GPU_2,1040,544,4,good,addition,3.664048,0.030544,125.30499999999999
4,GPU_2,1065,502,6,bad,addition,3.4988479999999997,0.02968,127.565
5,GPU_2,1077,68,16,bad,addition,3.616016,0.026352,139.54000000000002
6,GPU_2,1090,881,4,bad,addition,3.614848,0.026208000000000002,140.945
7,GPU_2,1106,160,11,good,addition,3.292144,0.021968,149.85500000000002
8,GPU_2,1134,320,6,good,addition,3.7243199999999996,0.02184,170.585
9,GPU_2,1154,224,8,good,addition,3.5796799999999998,0.03808,93.97
10,GPU_2,1167,104,22,bad,addition,4.04992,0.031424,134.66
11,GPU_2,1189,920,2,bad,addition,4.017296,0.031056,136.65
12,GPU_2,1211,256,8,good,addition,3.4056319999999998,0.022416,151.945
13,GPU_2,1212,872,3,bad,addition,3.57392,0.022576,158.4
14,GPU_2,1219,288,7,good,addition,3.47024,0.022112,157.43
15,GPU_2,1240,66,23,bad,addition,4.755167999999999,0.03128,170.35
16,GPU_2,1276,64,37,good,addition,3.351008,0.022784,147.07999999999998
17,GPU_2,1286,352,7,good,addition,3.985632,0.031536,132.29500000000002
18,GPU_2,1295,800,4,good,addition,3.8523680000000002,0.021952,175.12
19,GPU_2,1307,736,4,good,addition,3.5496,0.02208,161.515
20,GPU_2,1309,325,9,bad,addition,3.7286720000000004,0.024031999999999998,157.405
21,GPU_2,1312,236,7,bad,addition,3.505344,0.021872000000000003,160.7
22,GPU_2,1327,338,8,bad,addition,3.642032,0.02128,171.055
23,GPU_2,1334,864,2,good,addition,3.512688,0.02232,158.575
24,GPU_2,1336,911,3,bad,addition,3.399584,0.02216,153.41500000000002
25,GPU_2,1367,512,5,good,addition,3.585984,0.030016,127.525
26,GPU_2,1370,288,10,good,addition,3.5760319999999997,0.021696,164.86
27,GPU_2,1373,409,7,bad,addition,3.792784,0.029840000000000002,134.51
28,GPU_2,1388,480,5,good,addition,3.777424,0.021727999999999997,175.305
29,GPU_2,1389,704,3,good,addition,3.6984000000000004,0.022095999999999998,167.89499999999998
30,GPU_2,1390,288,10,good,addition,3.4424799999999998,0.026464,132.445
31,GPU_2,1399,992,4,good,addition,3.581376,0.030464,123.495
32,GPU_2,1406,736,2,good,addition,3.476208,0.02176,160.11
33,GPU_2,1411,864,4,good,addition,3.6239359999999996,0.044384,82.71000000000001
34,GPU_2,1413,384,5,good,addition,3.847552,0.022816000000000003,168.96499999999997
35,GPU_2,1414,256,7,good,addition,3.943408,0.023264,169.62
36,GPU_2,1447,410,6,bad,addition,3.874016,0.030576,136.185
37,GPU_2,1468,671,3,bad,addition,3.59464,0.023568,152.8
38,GPU_2,1493,659,6,bad,addition,3.663104,0.031696,123.925
39,GPU_2,1496,863,4,bad,addition,3.31752,0.021824,152.35000000000002
40,GPU_2,1500,1008,2,bad,addition,3.803376,0.029824000000000003,132.2
41,GPU_2,1507,544,4,good,addition,3.756112,0.030432,132.99
42,GPU_2,1550,144,12,bad,addition,3.772752,0.030304,137.67
43,GPU_2,1552,691,3,bad,addition,3.9550080000000003,0.029984,142.505
44,GPU_2,1561,161,20,bad,addition,4.089312,0.026,157.645
45,GPU_2,1589,192,12,good,addition,4.329344,0.019376,234.14
46,GPU_2,1611,362,7,bad,addition,3.624224,0.023296,155.565
47,GPU_2,1614,422,4,bad,addition,3.97808,0.039712,100.13499999999999
48,GPU_2,1635,514,5,bad,addition,3.58176,0.023024,155.70499999999998
49,GPU_2,1720,562,8,bad,addition,3.567408,0.032128000000000004,123.185
50,GPU_2,1731,596,3,bad,addition,3.79304,0.031072000000000002,137.615
51,GPU_2,1746,994,3,bad,addition,3.3571999999999997,0.02232,150.41500000000002
52,GPU_2,1767,489,5,bad,addition,3.508416,0.031616000000000005,116.91
53,GPU_2,1768,544,7,good,addition,3.342192,0.022927999999999997,146.485
54,GPU_2,1770,928,2,good,addition,3.557536,0.033488000000000004,110.935
55,GPU_2,1782,570,7,bad,addition,3.9558720000000003,0.031408,138.89
56,GPU_2,1807,896,6,good,addition,3.45592,0.026336,134.85500000000002
57,GPU_2,1809,512,5,good,addition,4.074512,0.022656,179.89499999999998
58,GPU_2,1821,128,17,good,addition,3.615728,0.021616000000000003,167.24
59,GPU_2,1839,224,12,good,addition,3.607808,0.030944,126.52
60,GPU_2,1886,1004,3,bad,addition,3.685936,0.021727999999999997,170.20499999999998
61,GPU_2,1924,340,7,bad,addition,3.655584,0.025728,144.99
62,GPU_2,1933,544,4,good,addition,3.467376,0.022463999999999998,154.91
63,GPU_2,1934,696,6,bad,addition,3.8282879999999997,0.03096,135.28
64,GPU_2,1942,64,48,good,addition,3.914192,0.030496000000000002,139.45
65,GPU_2,1949,480,6,good,addition,3.536064,0.03168,117.84
66,GPU_2,1963,160,13,good,addition,4.00312,0.039744,100.85
67,GPU_2,1977,1015,3,bad,addition,3.68968,0.040111999999999995,92.10499999999999
68,GPU_2,1978,648,6,bad,addition,4.059296,0.022576,179.87
69,GPU_2,1996,701,5,bad,addition,3.5308479999999998,0.033072000000000004,119.19500000000001
