Index,ProblemSize,ThreadsPerBlock,NumBlocks,Alignment
1,1020,580,5,bad
2,1020,580,8,bad
3,1020,580,13,bad
4,1020,580,23,bad
5,1020,580,47,bad
6,1020,580,126,bad
7,1020,580,179,bad
8,1020,580,227,bad
9,1020,580,348,bad
10,1020,580,848,bad
11,1020,553,5,bad
12,1020,553,8,bad
13,1020,553,13,bad
14,1020,553,23,bad
15,1020,553,47,bad
16,1020,553,126,bad
17,1020,553,179,bad
18,1020,553,227,bad
19,1020,553,348,bad
20,1020,553,848,bad
21,1020,304,5,bad
22,1020,304,8,bad
23,1020,304,13,bad
24,1020,304,23,bad
25,1020,304,47,bad
26,1020,304,126,bad
27,1020,304,179,bad
28,1020,304,227,bad
29,1020,304,348,bad
30,1020,304,848,bad
31,1020,288,5,good
32,1020,288,8,good
33,1020,288,13,good
34,1020,288,23,good
35,1020,288,47,good
36,1020,288,126,good
37,1020,288,179,good
38,1020,288,227,good
39,1020,288,348,good
40,1020,288,848,good
41,1020,768,5,good
42,1020,768,8,good
43,1020,768,13,good
44,1020,768,23,good
45,1020,768,47,good
46,1020,768,126,good
47,1020,768,179,good
48,1020,768,227,good
49,1020,768,348,good
50,1020,768,848,good
51,1020,960,5,good
52,1020,960,8,good
53,1020,960,13,good
54,1020,960,23,good
55,1020,960,47,good
56,1020,960,126,good
57,1020,960,179,good
58,1020,960,227,good
59,1020,960,348,good
60,1020,960,848,good
61,1020,215,5,bad
62,1020,215,8,bad
63,1020,215,13,bad
64,1020,215,23,bad
65,1020,215,47,bad
66,1020,215,126,bad
67,1020,215,179,bad
68,1020,215,227,bad
69,1020,215,348,bad
70,1020,215,848,bad
71,1020,160,5,good
72,1020,160,8,good
73,1020,160,13,good
74,1020,160,23,good
75,1020,160,47,good
76,1020,160,126,good
77,1020,160,179,good
78,1020,160,227,good
79,1020,160,348,good
80,1020,160,848,good
81,1020,247,5,bad
82,1020,247,8,bad
83,1020,247,13,bad
84,1020,247,23,bad
85,1020,247,47,bad
86,1020,247,126,bad
87,1020,247,179,bad
88,1020,247,227,bad
89,1020,247,348,bad
90,1020,247,848,bad
91,1020,640,5,good
92,1020,640,8,good
93,1020,640,13,good
94,1020,640,23,good
95,1020,640,47,good
96,1020,640,126,good
97,1020,640,179,good
98,1020,640,227,good
99,1020,640,348,good
100,1020,640,848,good
101,1084,580,5,bad
102,1084,580,8,bad
103,1084,580,13,bad
104,1084,580,23,bad
105,1084,580,47,bad
106,1084,580,126,bad
107,1084,580,179,bad
108,1084,580,227,bad
109,1084,580,348,bad
110,1084,580,848,bad
111,1084,553,5,bad
112,1084,553,8,bad
113,1084,553,13,bad
114,1084,553,23,bad
115,1084,553,47,bad
116,1084,553,126,bad
117,1084,553,179,bad
118,1084,553,227,bad
119,1084,553,348,bad
120,1084,553,848,bad
121,1084,304,5,bad
122,1084,304,8,bad
123,1084,304,13,bad
124,1084,304,23,bad
125,1084,304,47,bad
126,1084,304,126,bad
127,1084,304,179,bad
128,1084,304,227,bad
129,1084,304,348,bad
130,1084,304,848,bad
131,1084,288,5,good
132,1084,288,8,good
133,1084,288,13,good
134,1084,288,23,good
135,1084,288,47,good
136,1084,288,126,good
137,1084,288,179,good
138,1084,288,227,good
139,1084,288,348,good
140,1084,288,848,good
141,1084,768,5,good
142,1084,768,8,good
143,1084,768,13,good
144,1084,768,23,good
145,1084,768,47,good
146,1084,768,126,good
147,1084,768,179,good
148,1084,768,227,good
149,1084,768,348,good
150,1084,768,848,good
151,1084,960,5,good
152,1084,960,8,good
153,1084,960,13,good
154,1084,960,23,good
155,1084,960,47,good
156,1084,960,126,good
157,1084,960,179,good
158,1084,960,227,good
159,1084,960,348,good
160,1084,960,848,good
161,1084,215,5,bad
162,1084,215,8,bad
163,1084,215,13,bad
164,1084,215,23,bad
165,1084,215,47,bad
166,1084,215,126,bad
167,1084,215,179,bad
168,1084,215,227,bad
169,1084,215,348,bad
170,1084,215,848,bad
171,1084,160,5,good
172,1084,160,8,good
173,1084,160,13,good
174,1084,160,23,good
175,1084,160,47,good
176,1084,160,126,good
177,1084,160,179,good
178,1084,160,227,good
179,1084,160,348,good
180,1084,160,848,good
181,1084,247,5,bad
182,1084,247,8,bad
183,1084,247,13,bad
184,1084,247,23,bad
185,1084,247,47,bad
186,1084,247,126,bad
187,1084,247,179,bad
188,1084,247,227,bad
189,1084,247,348,bad
190,1084,247,848,bad
191,1084,640,5,good
192,1084,640,8,good
193,1084,640,13,good
194,1084,640,23,good
195,1084,640,47,good
196,1084,640,126,good
197,1084,640,179,good
198,1084,640,227,good
199,1084,640,348,good
200,1084,640,848,good
201,1102,580,5,bad
202,1102,580,8,bad
203,1102,580,13,bad
204,1102,580,23,bad
205,1102,580,47,bad
206,1102,580,126,bad
207,1102,580,179,bad
208,1102,580,227,bad
209,1102,580,348,bad
210,1102,580,848,bad
211,1102,553,5,bad
212,1102,553,8,bad
213,1102,553,13,bad
214,1102,553,23,bad
215,1102,553,47,bad
216,1102,553,126,bad
217,1102,553,179,bad
218,1102,553,227,bad
219,1102,553,348,bad
220,1102,553,848,bad
221,1102,304,5,bad
222,1102,304,8,bad
223,1102,304,13,bad
224,1102,304,23,bad
225,1102,304,47,bad
226,1102,304,126,bad
227,1102,304,179,bad
228,1102,304,227,bad
229,1102,304,348,bad
230,1102,304,848,bad
231,1102,288,5,good
232,1102,288,8,good
233,1102,288,13,good
234,1102,288,23,good
235,1102,288,47,good
236,1102,288,126,good
237,1102,288,179,good
238,1102,288,227,good
239,1102,288,348,good
240,1102,288,848,good
241,1102,768,5,good
242,1102,768,8,good
243,1102,768,13,good
244,1102,768,23,good
245,1102,768,47,good
246,1102,768,126,good
247,1102,768,179,good
248,1102,768,227,good
249,1102,768,348,good
250,1102,768,848,good
251,1102,960,5,good
252,1102,960,8,good
253,1102,960,13,good
254,1102,960,23,good
255,1102,960,47,good
256,1102,960,126,good
257,1102,960,179,good
258,1102,960,227,good
259,1102,960,348,good
260,1102,960,848,good
261,1102,215,5,bad
262,1102,215,8,bad
263,1102,215,13,bad
264,1102,215,23,bad
265,1102,215,47,bad
266,1102,215,126,bad
267,1102,215,179,bad
268,1102,215,227,bad
269,1102,215,348,bad
270,1102,215,848,bad
271,1102,160,5,good
272,1102,160,8,good
273,1102,160,13,good
274,1102,160,23,good
275,1102,160,47,good
276,1102,160,126,good
277,1102,160,179,good
278,1102,160,227,good
279,1102,160,348,good
280,1102,160,848,good
281,1102,247,5,bad
282,1102,247,8,bad
283,1102,247,13,bad
284,1102,247,23,bad
285,1102,247,47,bad
286,1102,247,126,bad
287,1102,247,179,bad
288,1102,247,227,bad
289,1102,247,348,bad
290,1102,247,848,bad
291,1102,640,5,good
292,1102,640,8,good
293,1102,640,13,good
294,1102,640,23,good
295,1102,640,47,good
296,1102,640,126,good
297,1102,640,179,good
298,1102,640,227,good
299,1102,640,348,good
300,1102,640,848,good
301,1495,580,5,bad
302,1495,580,8,bad
303,1495,580,13,bad
304,1495,580,23,bad
305,1495,580,47,bad
306,1495,580,126,bad
307,1495,580,179,bad
308,1495,580,227,bad
309,1495,580,348,bad
310,1495,580,848,bad
311,1495,553,5,bad
312,1495,553,8,bad
313,1495,553,13,bad
314,1495,553,23,bad
315,1495,553,47,bad
316,1495,553,126,bad
317,1495,553,179,bad
318,1495,553,227,bad
319,1495,553,348,bad
320,1495,553,848,bad
321,1495,304,5,bad
322,1495,304,8,bad
323,1495,304,13,bad
324,1495,304,23,bad
325,1495,304,47,bad
326,1495,304,126,bad
327,1495,304,179,bad
328,1495,304,227,bad
329,1495,304,348,bad
330,1495,304,848,bad
331,1495,288,5,good
332,1495,288,8,good
333,1495,288,13,good
334,1495,288,23,good
335,1495,288,47,good
336,1495,288,126,good
337,1495,288,179,good
338,1495,288,227,good
339,1495,288,348,good
340,1495,288,848,good
341,1495,768,5,good
342,1495,768,8,good
343,1495,768,13,good
344,1495,768,23,good
345,1495,768,47,good
346,1495,768,126,good
347,1495,768,179,good
348,1495,768,227,good
349,1495,768,348,good
350,1495,768,848,good
351,1495,960,5,good
352,1495,960,8,good
353,1495,960,13,good
354,1495,960,23,good
355,1495,960,47,good
356,1495,960,126,good
357,1495,960,179,good
358,1495,960,227,good
359,1495,960,348,good
360,1495,960,848,good
361,1495,215,5,bad
362,1495,215,8,bad
363,1495,215,13,bad
364,1495,215,23,bad
365,1495,215,47,bad
366,1495,215,126,bad
367,1495,215,179,bad
368,1495,215,227,bad
369,1495,215,348,bad
370,1495,215,848,bad
371,1495,160,5,good
372,1495,160,8,good
373,1495,160,13,good
374,1495,160,23,good
375,1495,160,47,good
376,1495,160,126,good
377,1495,160,179,good
378,1495,160,227,good
379,1495,160,348,good
380,1495,160,848,good
381,1495,247,5,bad
382,1495,247,8,bad
383,1495,247,13,bad
384,1495,247,23,bad
385,1495,247,47,bad
386,1495,247,126,bad
387,1495,247,179,bad
388,1495,247,227,bad
389,1495,247,348,bad
390,1495,247,848,bad
391,1495,640,5,good
392,1495,640,8,good
393,1495,640,13,good
394,1495,640,23,good
395,1495,640,47,good
396,1495,640,126,good
397,1495,640,179,good
398,1495,640,227,good
399,1495,640,348,good
400,1495,640,848,good
401,1537,580,5,bad
402,1537,580,8,bad
403,1537,580,13,bad
