Index,ProblemSize,ThreadsPerBlock,NumBlocks,Alignment
1,1013,576,2,good
2,1013,576,39,good
3,1013,576,61,good
4,1013,576,90,good
5,1013,576,275,good
6,1013,734,2,bad
7,1013,734,39,bad
8,1013,734,61,bad
9,1013,734,90,bad
10,1013,734,275,bad
11,1013,128,2,good
12,1013,128,39,good
13,1013,128,61,good
14,1013,128,90,good
15,1013,128,275,good
16,1013,768,2,good
17,1013,768,39,good
18,1013,768,61,good
19,1013,768,90,good
20,1013,768,275,good
21,1013,92,2,bad
22,1013,92,39,bad
23,1013,92,61,bad
24,1013,92,90,bad
25,1013,92,275,bad
26,1013,464,2,bad
27,1013,464,39,bad
28,1013,464,61,bad
29,1013,464,90,bad
30,1013,464,275,bad
31,1013,352,2,good
32,1013,352,39,good
33,1013,352,61,good
34,1013,352,90,good
35,1013,352,275,good
36,1013,306,2,bad
37,1013,306,39,bad
38,1013,306,61,bad
39,1013,306,90,bad
40,1013,306,275,bad
41,1013,192,2,good
42,1013,192,39,good
43,1013,192,61,good
44,1013,192,90,good
45,1013,192,275,good
46,1013,741,2,bad
47,1013,741,39,bad
48,1013,741,61,bad
49,1013,741,90,bad
50,1013,741,275,bad
51,1020,576,2,good
52,1020,576,39,good
53,1020,576,61,good
54,1020,576,90,good
55,1020,576,275,good
56,1020,734,2,bad
57,1020,734,39,bad
58,1020,734,61,bad
59,1020,734,90,bad
60,1020,734,275,bad
61,1020,128,2,good
62,1020,128,39,good
63,1020,128,61,good
64,1020,128,90,good
65,1020,128,275,good
66,1020,768,2,good
67,1020,768,39,good
68,1020,768,61,good
69,1020,768,90,good
70,1020,768,275,good
71,1020,92,2,bad
72,1020,92,39,bad
73,1020,92,61,bad
74,1020,92,90,bad
75,1020,92,275,bad
76,1020,464,2,bad
77,1020,464,39,bad
78,1020,464,61,bad
79,1020,464,90,bad
80,1020,464,275,bad
81,1020,352,2,good
82,1020,352,39,good
83,1020,352,61,good
84,1020,352,90,good
85,1020,352,275,good
86,1020,306,2,bad
87,1020,306,39,bad
88,1020,306,61,bad
89,1020,306,90,bad
90,1020,306,275,bad
91,1020,192,2,good
92,1020,192,39,good
93,1020,192,61,good
94,1020,192,90,good
95,1020,192,275,good
96,1020,741,2,bad
97,1020,741,39,bad
98,1020,741,61,bad
99,1020,741,90,bad
100,1020,741,275,bad
101,1028,576,2,good
102,1028,576,39,good
103,1028,576,61,good
104,1028,576,90,good
105,1028,576,275,good
106,1028,734,2,bad
107,1028,734,39,bad
108,1028,734,61,bad
109,1028,734,90,bad
110,1028,734,275,bad
111,1028,128,2,good
112,1028,128,39,good
113,1028,128,61,good
114,1028,128,90,good
115,1028,128,275,good
116,1028,768,2,good
117,1028,768,39,good
118,1028,768,61,good
119,1028,768,90,good
120,1028,768,275,good
121,1028,92,2,bad
122,1028,92,39,bad
123,1028,92,61,bad
124,1028,92,90,bad
125,1028,92,275,bad
126,1028,464,2,bad
127,1028,464,39,bad
128,1028,464,61,bad
129,1028,464,90,bad
130,1028,464,275,bad
131,1028,352,2,good
132,1028,352,39,good
133,1028,352,61,good
134,1028,352,90,good
135,1028,352,275,good
136,1028,306,2,bad
137,1028,306,39,bad
138,1028,306,61,bad
139,1028,306,90,bad
140,1028,306,275,bad
141,1028,192,2,good
142,1028,192,39,good
143,1028,192,61,good
144,1028,192,90,good
145,1028,192,275,good
146,1028,741,2,bad
147,1028,741,39,bad
148,1028,741,61,bad
149,1028,741,90,bad
150,1028,741,275,bad
151,1050,576,2,good
152,1050,576,39,good
153,1050,576,61,good
154,1050,576,90,good
155,1050,576,275,good
156,1050,734,2,bad
157,1050,734,39,bad
158,1050,734,61,bad
159,1050,734,90,bad
160,1050,734,275,bad
161,1050,128,2,good
162,1050,128,39,good
163,1050,128,61,good
164,1050,128,90,good
165,1050,128,275,good
166,1050,768,2,good
167,1050,768,39,good
168,1050,768,61,good
169,1050,768,90,good
170,1050,768,275,good
171,1050,92,2,bad
172,1050,92,39,bad
173,1050,92,61,bad
