Index,ProblemSize,ThreadsPerBlock,NumBlocks,Alignment
1,100,314,1,bad
2,101,516,1,bad
3,102,453,1,bad
4,103,480,2,good
5,104,512,2,good
6,105,327,2,bad
7,106,336,2,bad
8,107,51,3,bad
9,108,73,2,bad
10,109,98,4,bad
11,110,490,1,bad
12,111,552,1,bad
13,113,78,4,bad
14,114,729,2,bad
15,115,800,2,good
16,116,395,2,bad
17,118,832,2,good
18,119,704,2,good
19,120,352,2,good
20,121,160,1,good
21,122,421,1,bad
22,123,352,1,good
23,124,64,4,good
24,125,220,1,bad
25,127,736,2,good
26,128,138,1,bad
27,129,832,2,good
28,130,1024,2,good
29,131,416,2,good
30,132,937,1,bad
31,133,210,1,bad
32,134,93,3,bad
33,135,390,2,bad
34,137,32,10,good
35,138,690,1,bad
36,139,993,1,bad
37,141,902,2,bad
38,142,319,2,bad
39,143,192,1,good
40,144,576,2,good
41,145,576,2,good
42,146,725,2,bad
43,147,973,1,bad
44,148,911,2,bad
45,149,324,2,bad
46,150,896,1,good
47,151,824,2,bad
48,152,576,1,good
49,153,256,2,good
50,154,256,2,good
51,155,384,2,good
52,156,823,2,bad
53,157,759,1,bad
54,158,288,1,good
55,159,928,2,good
56,160,865,2,bad
57,161,1012,2,bad
58,162,756,2,bad
59,163,791,1,bad
60,164,326,1,bad
61,165,416,2,good
62,166,992,2,good
63,168,32,7,good
64,169,32,7,good
65,171,983,2,bad
66,172,571,1,bad
67,173,1024,1,good
68,174,256,1,good
69,175,859,1,bad
70,176,336,2,bad
71,177,350,2,bad
72,178,651,1,bad
73,179,896,1,good
74,181,416,2,good
75,182,512,1,good
76,183,301,2,bad
77,184,672,1,good
78,185,623,1,bad
79,186,832,2,good
80,187,814,2,bad
81,190,928,1,good
82,191,350,1,bad
83,193,320,2,good
84,194,1024,1,good
85,195,416,1,good
86,196,916,2,bad
87,197,777,1,bad
88,198,1024,2,good
89,199,896,1,good
90,200,512,2,good
91,201,68,4,bad
92,203,320,1,good
93,204,960,2,good
94,205,992,2,good
95,207,1011,2,bad
96,208,352,2,good
97,209,672,1,good
98,210,672,2,good
99,211,960,2,good
100,213,768,1,good
101,214,795,1,bad
102,215,864,1,good
103,216,692,1,bad
104,217,850,2,bad
105,218,1024,1,good
106,219,832,2,good
107,220,448,1,good
108,221,864,1,good
109,222,201,3,bad
110,223,768,1,good
111,225,215,3,bad
112,226,306,1,bad
113,227,512,1,good
114,228,800,1,good
115,229,352,1,good
116,230,704,1,good
117,231,125,2,bad
118,233,256,1,good
119,234,96,6,good
120,235,864,1,good
121,236,640,2,good
122,237,617,2,bad
123,238,931,1,bad
124,239,192,3,good
125,240,352,1,good
