Index,GPU,ProblemSize,ThreadsPerBlock,NumBlocks,Alignment,Operation,Avg_SingleThreadTime(sec),Avg_KernelTime(sec),Avg_Speedup
1,GPU_4,100,314,1,bad,multiplication,0.0039005,6e-06,618.8
2,GPU_4,101,516,1,bad,multiplication,0.004031,6e-06,641.065
3,GPU_4,102,453,1,bad,multiplication,0.004162,6e-06,667.27
4,GPU_4,103,480,2,good,multiplication,0.0042734999999999995,6e-06,674.495
5,GPU_4,104,512,2,good,multiplication,0.0043875,6.5000000000000004e-06,669.5899999999999
6,GPU_4,105,327,2,bad,multiplication,0.004522,6e-06,701.345
7,GPU_4,106,336,2,bad,multiplication,0.004649,6.5000000000000004e-06,724.98
8,GPU_4,107,51,3,bad,multiplication,0.004783,6e-06,772.865
9,GPU_4,108,73,2,bad,multiplication,0.004921,6.5000000000000004e-06,769.21
10,GPU_4,109,98,4,bad,multiplication,0.005068,6.5000000000000004e-06,773.835
11,GPU_4,110,490,1,bad,multiplication,0.005203,6e-06,840.55
12,GPU_4,111,552,1,bad,multiplication,0.005333,6e-06,839.585
13,GPU_4,113,78,4,bad,multiplication,0.0056255,6e-06,894.645
14,GPU_4,114,729,2,bad,multiplication,0.005987,6.5000000000000004e-06,920.04
15,GPU_4,115,800,2,good,multiplication,0.005927,6e-06,954.835
16,GPU_4,116,395,2,bad,multiplication,0.006078500000000001,6.5000000000000004e-06,936.095
17,GPU_4,118,832,2,good,multiplication,0.0064115000000000005,6e-06,1014.535
18,GPU_4,119,704,2,good,multiplication,0.006561,6e-06,1073.4899999999998
19,GPU_4,120,352,2,good,multiplication,0.006706500000000001,6e-06,1066.895
20,GPU_4,121,160,1,good,multiplication,0.006895,6e-06,1099.33
21,GPU_4,122,421,1,bad,multiplication,0.007078,6e-06,1155.985
22,GPU_4,123,352,1,good,multiplication,0.0072675,6.5000000000000004e-06,1139.2649999999999
23,GPU_4,124,64,4,good,multiplication,0.007414,6e-06,1179.14
24,GPU_4,125,220,1,bad,multiplication,0.0076,6e-06,1233.775
25,GPU_4,127,736,2,good,multiplication,0.0079615,6.5000000000000004e-06,1236.4450000000002
26,GPU_4,128,138,1,bad,multiplication,0.0092205,6.5000000000000004e-06,1413.29
27,GPU_4,129,832,2,good,multiplication,0.008345,6e-06,1368.94
28,GPU_4,130,1024,2,good,multiplication,0.008551,6e-06,1374.1
29,GPU_4,131,416,2,good,multiplication,0.0087355,6e-06,1397.0900000000001
30,GPU_4,132,937,1,bad,multiplication,0.0089325,6.5000000000000004e-06,1389.995
31,GPU_4,133,210,1,bad,multiplication,0.009139,6e-06,1527.2849999999999
32,GPU_4,134,93,3,bad,multiplication,0.009357500000000001,6e-06,1519.085
33,GPU_4,135,390,2,bad,multiplication,0.0095575,6e-06,1527.74
34,GPU_4,137,32,10,good,multiplication,0.009979499999999999,5.85e-05,169.91000000000003
35,GPU_4,138,690,1,bad,multiplication,0.010217500000000001,6e-06,1633.245
36,GPU_4,139,993,1,bad,multiplication,0.0104205,6e-06,1669.9499999999998
37,GPU_4,141,902,2,bad,multiplication,0.010872,6e-06,1715.95
38,GPU_4,142,319,2,bad,multiplication,0.011120999999999999,6e-06,1782.4
39,GPU_4,143,192,1,good,multiplication,0.011335000000000001,6e-06,1802.935
40,GPU_4,144,576,2,good,multiplication,0.0115275,6e-06,1852.415
41,GPU_4,145,576,2,good,multiplication,0.0118245,6e-06,1939.835
42,GPU_4,146,725,2,bad,multiplication,0.0122975,6.5000000000000004e-06,1864.995
43,GPU_4,147,973,1,bad,multiplication,0.012321499999999999,6.5000000000000004e-06,1841.72
44,GPU_4,148,911,2,bad,multiplication,0.012554,6e-06,2022.2800000000002
45,GPU_4,149,324,2,bad,multiplication,0.012812500000000001,6e-06,2063.87
46,GPU_4,150,896,1,good,multiplication,0.013094499999999999,6e-06,2061.49
47,GPU_4,151,824,2,bad,multiplication,0.013335,6e-06,2153.5950000000003
48,GPU_4,152,576,1,good,multiplication,0.013559499999999999,6e-06,2196.05
49,GPU_4,153,256,2,good,multiplication,0.0138725,6e-06,2208.6049999999996
50,GPU_4,154,256,2,good,multiplication,0.014165500000000001,6e-06,2288.095
51,GPU_4,155,384,2,good,multiplication,0.0144195,6e-06,2288.31
52,GPU_4,156,823,2,bad,multiplication,0.0146865,6e-06,2377.995
53,GPU_4,157,759,1,bad,multiplication,0.014988999999999999,6e-06,2497.165
54,GPU_4,158,288,1,good,multiplication,0.0152845,6e-06,2449.4399999999996
55,GPU_4,159,928,2,good,multiplication,0.015553,6.5000000000000004e-06,2426.635
56,GPU_4,160,865,2,bad,multiplication,0.015931,6e-06,2458.52
57,GPU_4,161,1012,2,bad,multiplication,0.016146,6.5000000000000004e-06,2492.815
58,GPU_4,162,756,2,bad,multiplication,0.0164705,6.5000000000000004e-06,2466.3
59,GPU_4,163,791,1,bad,multiplication,0.016760499999999998,7e-06,2447.5550000000003
60,GPU_4,164,326,1,bad,multiplication,0.0170925,6.5000000000000004e-06,2689.635
61,GPU_4,165,416,2,good,multiplication,0.017373,6e-06,2798.56
62,GPU_4,166,992,2,good,multiplication,0.0177615,6.5000000000000004e-06,2744.75
63,GPU_4,168,32,7,good,multiplication,0.018284500000000002,6.85e-05,266.39
64,GPU_4,169,32,7,good,multiplication,0.018666000000000002,7.549999999999999e-05,248.14
65,GPU_4,171,983,2,bad,multiplication,0.020617,6.5000000000000004e-06,3232.925
66,GPU_4,172,571,1,bad,multiplication,0.019678,6e-06,3145.475
67,GPU_4,173,1024,1,good,multiplication,0.0200225,6e-06,3176.4750000000004
68,GPU_4,174,256,1,good,multiplication,0.020388,6.5000000000000004e-06,3195.2200000000003
69,GPU_4,175,859,1,bad,multiplication,0.0207115,6e-06,3362.46
70,GPU_4,176,336,2,bad,multiplication,0.020981,6e-06,3554.38
71,GPU_4,177,350,2,bad,multiplication,0.0214605,6e-06,3431.505
72,GPU_4,178,651,1,bad,multiplication,0.0220185,6e-06,3537.88
73,GPU_4,179,896,1,good,multiplication,0.0221685,6.5000000000000004e-06,3469.3149999999996
74,GPU_4,181,416,2,good,multiplication,0.0229235,6e-06,3618.065
75,GPU_4,182,512,1,good,multiplication,0.023345499999999998,6.5000000000000004e-06,3554.795
76,GPU_4,183,301,2,bad,multiplication,0.023733,6.5000000000000004e-06,3711.635
77,GPU_4,184,672,1,good,multiplication,0.0239885,6e-06,3956.59
78,GPU_4,185,623,1,bad,multiplication,0.024521,8.5e-06,3127.92
79,GPU_4,186,832,2,good,multiplication,0.0253585,6e-06,4064.275
80,GPU_4,187,814,2,bad,multiplication,0.025252,6e-06,4120.785
81,GPU_4,190,928,1,good,multiplication,0.026517,6e-06,4132.975
82,GPU_4,191,350,1,bad,multiplication,0.026890999999999998,6.5000000000000004e-06,4133.635
83,GPU_4,193,320,2,good,multiplication,0.027756,6e-06,4428.32
84,GPU_4,194,1024,1,good,multiplication,0.028232,6e-06,4445.9400000000005
85,GPU_4,195,416,1,good,multiplication,0.030842,6.5000000000000004e-06,4836.21
86,GPU_4,196,916,2,bad,multiplication,0.029075999999999998,6e-06,4707.905000000001
87,GPU_4,197,777,1,bad,multiplication,0.030092,6.5000000000000004e-06,4555.1
88,GPU_4,198,1024,2,good,multiplication,0.030004999999999997,6.5000000000000004e-06,4727.395
89,GPU_4,199,896,1,good,multiplication,0.030458,6e-06,4881.09
90,GPU_4,200,512,2,good,multiplication,0.030784,6e-06,4997.435
91,GPU_4,201,68,4,bad,multiplication,0.031356,6e-06,4912.48
92,GPU_4,203,320,1,good,multiplication,0.032445,6.5000000000000004e-06,5100.71
93,GPU_4,204,960,2,good,multiplication,0.032798,6e-06,5299.745000000001
94,GPU_4,205,992,2,good,multiplication,0.037350999999999995,6.5000000000000004e-06,5787.405
95,GPU_4,207,1011,2,bad,multiplication,0.034253500000000006,6e-06,5395.264999999999
96,GPU_4,208,352,2,good,multiplication,0.0345925,6e-06,5487.94
97,GPU_4,209,672,1,good,multiplication,0.0353545,6e-06,5579.9400000000005
98,GPU_4,210,672,2,good,multiplication,0.036033499999999996,6e-06,5716.615
99,GPU_4,211,960,2,good,multiplication,0.03633,6.5000000000000004e-06,5665.285
100,GPU_4,213,768,1,good,multiplication,0.0373385,6e-06,5908.03
101,GPU_4,214,795,1,bad,multiplication,0.037926,6e-06,6272.46
102,GPU_4,215,864,1,good,multiplication,0.038403,6e-06,6046.775
103,GPU_4,216,692,1,bad,multiplication,0.0387895,6e-06,6264.83
