Index,GPU,ProblemSize,ThreadsPerBlock,NumBlocks,Alignment,Operation,Avg_SingleThreadTime(sec),Avg_KernelTime(sec),Avg_Speedup
1,GPU_2,1030,448,4,good,reduction,5.5e-06,1.4e-05,0.405
2,GPU_2,1035,224,10,good,reduction,5e-06,1.45e-05,0.355
3,GPU_2,1041,512,5,good,reduction,5.5e-06,1.2e-05,0.44999999999999996
4,GPU_2,1048,47,33,bad,reduction,5e-06,1.2e-05,0.425
5,GPU_2,1053,640,4,good,reduction,5.5e-06,1.15e-05,0.465
6,GPU_2,1055,320,8,good,reduction,5.5e-06,1.2e-05,0.46499999999999997
7,GPU_2,1058,352,6,good,reduction,5.5e-06,1.15e-05,0.48
8,GPU_2,1059,128,14,good,reduction,5.5e-06,1.15e-05,0.47500000000000003
9,GPU_2,1071,657,4,bad,reduction,5e-06,1.2499999999999999e-05,0.405
10,GPU_2,1073,384,3,good,reduction,5e-06,1.1e-05,0.45499999999999996
11,GPU_2,1081,882,4,bad,reduction,5.5e-06,1.2e-05,0.44999999999999996
12,GPU_2,1108,75,26,bad,reduction,6e-06,1.15e-05,0.51
13,GPU_2,1125,224,6,good,reduction,5.5e-06,1.15e-05,0.48
14,GPU_2,1133,1024,4,good,reduction,6e-06,1.2e-05,0.485
15,GPU_2,1137,384,4,good,reduction,6e-06,1.2e-05,0.49
16,GPU_2,1138,680,4,bad,reduction,9e-06,1.15e-05,0.745
17,GPU_2,1140,736,4,good,reduction,5e-06,1.2e-05,0.405
18,GPU_2,1145,928,4,good,reduction,5e-06,1.5e-05,0.33999999999999997
19,GPU_2,1157,175,8,bad,reduction,6e-06,1.2499999999999999e-05,0.475
20,GPU_2,1194,480,6,good,reduction,5.5e-06,1.65e-05,0.35
21,GPU_2,1204,256,5,good,reduction,9.5e-06,1.5e-05,0.62
22,GPU_2,1212,896,4,good,reduction,5e-06,1.2e-05,0.415
23,GPU_2,1237,864,3,good,reduction,6e-06,1.3000000000000001e-05,0.46499999999999997
