Index,GPU,ProblemSize,ThreadsPerBlock,NumBlocks,Alignment,Operation,Avg_SingleThreadTime(sec),Avg_KernelTime(sec),Avg_Speedup
1,GPU_3,1014,568,4,bad,addition,4.04992,0.03584,123.7
2,GPU_3,1027,480,5,good,addition,3.413008,0.03584,101.7
3,GPU_3,1040,544,4,good,addition,3.60704,0.035648,107.515
4,GPU_3,1065,502,6,bad,addition,3.690512,0.036767999999999995,106.95
5,GPU_3,1077,68,16,bad,addition,3.777024,0.026591999999999998,142.285
6,GPU_3,1090,881,4,bad,addition,3.507216,0.04512,77.725
7,GPU_3,1106,160,11,good,addition,3.49592,0.034592,108.76
8,GPU_3,1134,320,6,good,addition,3.435536,0.024239999999999998,141.745
9,GPU_3,1154,224,8,good,addition,3.4416640000000003,0.034640000000000004,107.16999999999999
10,GPU_3,1167,104,22,bad,addition,3.7386239999999997,0.024288,154.85500000000002
11,GPU_3,1189,920,2,bad,addition,3.513344,0.02368,148.375
12,GPU_3,1211,256,8,good,addition,3.5522720000000003,0.045663999999999996,77.83500000000001
13,GPU_3,1212,872,3,bad,addition,3.589632,0.036608,107.31
14,GPU_3,1219,288,7,good,addition,3.55072,0.035504,108.745
15,GPU_3,1240,66,23,bad,addition,3.722752,0.025759999999999998,144.55
16,GPU_3,1276,64,37,good,addition,3.59936,0.039424,102.77000000000001
17,GPU_3,1286,352,7,good,addition,3.47136,0.024975999999999998,139.2
18,GPU_3,1295,800,4,good,addition,3.40376,0.035168,104.605
19,GPU_3,1307,736,4,good,addition,3.579904,0.044112,81.145
20,GPU_3,1309,325,9,bad,addition,3.808256,0.0344,121.375
21,GPU_3,1312,236,7,bad,addition,3.2803839999999997,0.025008000000000002,131.175
22,GPU_3,1327,338,8,bad,addition,3.346432,0.024592000000000003,136.085
23,GPU_3,1334,864,2,good,addition,3.644928,0.044048000000000004,82.805
24,GPU_3,1336,911,3,bad,addition,3.529728,0.041008,89.68
25,GPU_3,1367,512,5,good,addition,3.593728,0.034736,109.845
26,GPU_3,1370,288,10,good,addition,3.624448,0.037136,102.21000000000001
27,GPU_3,1373,409,7,bad,addition,3.590656,0.037696,105.83500000000001
28,GPU_3,1388,480,5,good,addition,3.557376,0.034256,110.84
29,GPU_3,1389,704,3,good,addition,3.657216,0.03832,105.945
30,GPU_3,1390,288,10,good,addition,3.950592,0.046048000000000006,85.805
31,GPU_3,1399,992,4,good,addition,3.5082240000000002,0.028368,124.855
32,GPU_3,1406,736,2,good,addition,3.610112,0.04408,82.05
33,GPU_3,1411,864,4,good,addition,3.501056,0.043008000000000005,81.435
34,GPU_3,1413,384,5,good,addition,3.4846719999999998,0.042095999999999995,98.53
35,GPU_3,1414,256,7,good,addition,3.5215199999999998,0.033327999999999997,113.97999999999999
36,GPU_3,1447,410,6,bad,addition,3.418624,0.03416,107.45000000000002
37,GPU_3,1468,671,3,bad,addition,3.4150400000000003,0.034352,109.55
38,GPU_3,1493,659,6,bad,addition,3.416064,0.03424,109.46000000000001
39,GPU_3,1496,863,4,bad,addition,3.533312,0.034912,109.535
40,GPU_3,1500,1008,2,bad,addition,3.368976,0.024399999999999998,138.085
41,GPU_3,1507,544,4,good,addition,3.4247680000000003,0.033648,109.695
42,GPU_3,1550,144,12,bad,addition,3.559936,0.035088,109.14999999999999
43,GPU_3,1552,691,3,bad,addition,3.516912,0.034735999999999996,108.695
44,GPU_3,1561,161,20,bad,addition,3.48416,0.035136,106.745
45,GPU_3,1589,192,12,good,addition,3.6541439999999996,0.046544,78.60499999999999
46,GPU_3,1611,362,7,bad,addition,3.505152,0.02568,136.49
47,GPU_3,1614,422,4,bad,addition,3.527168,0.035264,110.35499999999999
48,GPU_3,1635,514,5,bad,addition,3.474944,0.034528,108.54500000000002
49,GPU_3,1720,562,8,bad,addition,3.499008,0.045632000000000006,76.69
50,GPU_3,1731,596,3,bad,addition,3.4903199999999996,0.044495999999999994,78.455
51,GPU_3,1746,994,3,bad,addition,3.390464,0.035008,103.28
52,GPU_3,1767,489,5,bad,addition,3.475968,0.025168,138.115
53,GPU_3,1768,544,7,good,addition,3.5358720000000003,0.042976,82.32499999999999
54,GPU_3,1770,928,2,good,addition,3.4339839999999997,0.034928,105.695
55,GPU_3,1782,570,7,bad,addition,3.482112,0.044224,78.72999999999999
56,GPU_3,1807,896,6,good,addition,3.429376,0.035344,105.05499999999999
57,GPU_3,1809,512,5,good,addition,3.480576,0.025248,137.91
58,GPU_3,1821,128,17,good,addition,3.450368,0.034496,110.375
59,GPU_3,1839,224,12,good,addition,3.6382719999999997,0.046256,78.66
60,GPU_3,1886,1004,3,bad,addition,3.452928,0.038127999999999995,101.205
61,GPU_3,1924,340,7,bad,addition,3.545088,0.044384,79.875
62,GPU_3,1933,544,4,good,addition,3.80928,0.034976,117.96000000000001
63,GPU_3,1934,696,6,bad,addition,3.52256,0.034592,110.82
64,GPU_3,1942,64,48,good,addition,3.795456,0.034976,118.955
65,GPU_3,1949,480,6,good,addition,3.68128,0.0436,84.425
66,GPU_3,1963,160,13,good,addition,3.3981440000000003,0.050367999999999996,68.625
67,GPU_3,1977,1015,3,bad,addition,3.4237279999999997,0.045728000000000005,74.96000000000001
68,GPU_3,1978,648,6,bad,addition,3.4677759999999997,0.042752,99.19
69,GPU_3,1996,701,5,bad,addition,3.456512,0.035232,105.145
70,GPU_3,2012,896,3,good,addition,3.50208,0.04464,78.445
71,GPU_3,2051,992,4,good,addition,3.4176,0.025456,134.22
72,GPU_3,2129,608,5,good,addition,3.8973440000000004,0.03568,117.58000000000001
73,GPU_3,2160,448,8,good,addition,3.721712,0.025536000000000003,145.75
74,GPU_3,2163,448,6,good,addition,3.4682880000000003,0.034352,109.84
75,GPU_3,2186,1006,4,bad,addition,3.4339839999999997,0.02536,135.39499999999998
76,GPU_3,2207,160,19,good,addition,3.334144,0.025504,130.745
77,GPU_3,2213,352,14,good,addition,3.3628,0.034448,107.32
78,GPU_3,2235,96,26,good,addition,3.472896,0.050608,69.8
79,GPU_3,2248,728,5,bad,addition,3.616256,0.046528,77.75
80,GPU_3,2261,787,5,bad,addition,3.4851840000000003,0.035504,104.32499999999999
81,GPU_3,2275,544,8,good,addition,3.760128,0.045648,82.31
82,GPU_3,2286,825,5,bad,addition,3.95264,0.044719999999999996,88.38499999999999
83,GPU_3,2289,640,4,good,addition,3.554288,0.035056,111.11500000000001
84,GPU_3,2304,608,5,good,addition,3.433472,0.034944,105.26499999999999
85,GPU_3,2309,864,3,good,addition,3.5394560000000004,0.046544,76.03
86,GPU_3,2375,500,5,bad,addition,3.451392,0.035472000000000004,105.63
87,GPU_3,2390,224,20,good,addition,3.782672,0.035152,115.75
88,GPU_3,2401,480,6,good,addition,3.5650560000000002,0.026384,135.195
89,GPU_3,2410,768,7,good,addition,3.4606079999999997,0.035392,106.27
90,GPU_3,2456,1024,4,good,addition,3.453952,0.037104,102.85499999999999
91,GPU_3,2490,32,105,good,addition,3.617808,0.045776,79.025
92,GPU_3,2533,425,7,bad,addition,3.469312,0.025536,135.845
93,GPU_3,2549,239,17,bad,addition,3.527184,0.050112000000000004,70.645
94,GPU_3,2586,256,19,good,addition,3.47648,0.037360000000000004,101.52000000000001
95,GPU_3,2621,224,12,good,addition,3.439616,0.036368,102.39500000000001
96,GPU_3,2654,992,3,good,addition,3.46624,0.046880000000000005,73.945
97,GPU_3,2691,188,23,bad,addition,3.601408,0.033408,108.525
98,GPU_3,2715,640,10,good,addition,3.812368,0.05358400000000001,72.33500000000001
99,GPU_3,2775,224,18,good,addition,3.341824,0.036768,98.405
100,GPU_3,2861,448,8,good,addition,3.446784,0.052304,66.575
101,GPU_3,2899,352,15,good,addition,3.52256,0.03592,104.915
102,GPU_3,2911,992,5,good,addition,3.763712,0.026799999999999997,140.56
103,GPU_3,2925,512,7,good,addition,3.806208,0.035664,114.67500000000001
104,GPU_3,2938,529,10,bad,addition,3.633664,0.036512,107.96000000000001
