Index,GPU,ProblemSize,ThreadsPerBlock,NumBlocks,Alignment,Operation,Avg_SingleThreadTime(sec),Avg_KernelTime(sec),Avg_Speedup
1,GPU_4,1030,448,4,good,subtraction,6.5000000000000004e-06,1.2e-05,0.56
2,GPU_4,1035,224,10,good,subtraction,6e-06,1.15e-05,0.525
3,GPU_4,1041,512,5,good,subtraction,6.5000000000000004e-06,1.2e-05,0.54
4,GPU_4,1048,47,33,bad,subtraction,6e-06,1.2e-05,0.49
5,GPU_4,1053,640,4,good,subtraction,5.5e-06,1.2e-05,0.46499999999999997
6,GPU_4,1055,320,8,good,subtraction,6e-06,1.15e-05,0.525
7,GPU_4,1058,352,6,good,subtraction,6.5000000000000004e-06,1.2e-05,0.525
8,GPU_4,1059,128,14,good,subtraction,6.5000000000000004e-06,1.15e-05,0.56
9,GPU_4,1071,657,4,bad,subtraction,7e-06,1.15e-05,0.595
10,GPU_4,1073,384,3,good,subtraction,6e-06,1.2e-05,0.5
11,GPU_4,1081,882,4,bad,subtraction,6e-06,1.2e-05,0.505
12,GPU_4,1108,75,26,bad,subtraction,6e-06,1.2e-05,0.495
13,GPU_4,1125,224,6,good,subtraction,6.5000000000000004e-06,1.2e-05,0.56
14,GPU_4,1133,1024,4,good,subtraction,6.5000000000000004e-06,1.2e-05,0.5449999999999999
15,GPU_4,1137,384,4,good,subtraction,6.5000000000000004e-06,1.2e-05,0.5449999999999999
16,GPU_4,1138,680,4,bad,subtraction,6.5000000000000004e-06,1.2e-05,0.56
17,GPU_4,1140,736,4,good,subtraction,6e-06,1.1e-05,0.545
18,GPU_4,1145,928,4,good,subtraction,7e-06,1.1e-05,0.64
19,GPU_4,1157,175,8,bad,subtraction,6.5000000000000004e-06,1.1e-05,0.575
20,GPU_4,1194,480,6,good,subtraction,6.5000000000000004e-06,1.2e-05,0.5549999999999999
21,GPU_4,1204,256,5,good,subtraction,6e-06,1.15e-05,0.515
22,GPU_4,1212,896,4,good,subtraction,7e-06,1.15e-05,0.63
23,GPU_4,1237,864,3,good,subtraction,7e-06,1.2e-05,0.595
24,GPU_4,1242,207,7,bad,subtraction,7e-06,1.0500000000000001e-05,0.65
25,GPU_4,1243,576,6,good,subtraction,7e-06,1.1e-05,0.63
26,GPU_4,1245,96,16,good,subtraction,7e-06,1.1e-05,0.615
27,GPU_4,1253,288,9,good,subtraction,7e-06,1.15e-05,0.6
28,GPU_4,1255,881,2,bad,subtraction,6.5000000000000004e-06,1.1e-05,0.575
29,GPU_4,1258,793,3,bad,subtraction,7e-06,1.1e-05,0.62
30,GPU_4,1273,232,11,bad,subtraction,7e-06,1.1e-05,0.64
31,GPU_4,1275,497,4,bad,subtraction,7.499999999999999e-06,1.15e-05,0.6799999999999999
32,GPU_4,1295,992,2,good,subtraction,7e-06,1.0500000000000001e-05,0.65
33,GPU_4,1302,608,4,good,subtraction,7e-06,1.1e-05,0.635
34,GPU_4,1307,672,3,good,subtraction,7e-06,1.15e-05,0.61
35,GPU_4,1321,896,2,good,subtraction,7e-06,1.1e-05,0.645
36,GPU_4,1324,480,4,good,subtraction,7e-06,1.15e-05,0.61
