Index,GPU,ProblemSize,ThreadsPerBlock,NumBlocks,Alignment,Operation,Avg_SingleThreadTime(sec),Avg_KernelTime(sec),Avg_Speedup
1,GPU_2,1012,249,22,bad,addition,5.034879999999999,0.038016,133.24
3,GPU_2,1031,608,177,good,addition,3.254496,0.033856,107.945
4,GPU_2,1033,544,82,good,addition,3.355744,0.030560000000000004,117.77
5,GPU_2,1055,640,108,good,addition,3.2940959999999997,0.024368,138.56
6,GPU_2,1062,352,815,good,addition,3.271984,0.02952,116.95
7,GPU_2,1080,800,5,good,addition,3.271248,0.037856,86.44999999999999
8,GPU_2,1122,888,134,bad,addition,3.213632,0.022688,141.89
10,GPU_2,1191,647,17,bad,addition,3.4332640000000003,0.030752,117.68
12,GPU_2,1204,268,40,bad,addition,3.327584,0.030816,115.28
13,GPU_2,1210,135,150,bad,addition,3.2279999999999998,0.023104,139.73000000000002
14,GPU_2,1232,658,23,bad,addition,3.308624,0.022192,149.64
15,GPU_2,1238,440,412,bad,addition,3.3070399999999998,0.029920000000000002,121.01
16,GPU_2,1265,824,117,bad,addition,3.243248,0.021888,148.375
17,GPU_2,1267,352,636,good,addition,3.2355679999999998,0.030816000000000003,111.92
18,GPU_2,1271,320,369,good,addition,3.244848,0.031039999999999998,110.685
19,GPU_2,1300,945,4,bad,addition,3.313776,0.040959999999999996,80.905
20,GPU_2,1307,512,8,good,addition,3.706528,0.031776,127.88999999999999
21,GPU_2,1316,814,206,bad,addition,3.289632,0.037792,87.065
22,GPU_2,1338,416,80,good,addition,3.25544,0.029471999999999998,120.81
23,GPU_2,1342,674,69,bad,addition,3.194688,0.021887999999999998,146.375
24,GPU_2,1351,798,6,bad,addition,3.12912,0.030544,114.79499999999999
25,GPU_2,1389,832,53,good,addition,3.534128,0.031808,124.185
26,GPU_2,1396,729,4,bad,addition,3.2839679999999998,0.030416,115.50999999999999
27,GPU_2,1400,573,51,bad,addition,3.25544,0.030672,118.315
30,GPU_2,1427,140,217,bad,addition,3.405552,0.030688,123.49
31,GPU_2,1441,800,7,good,addition,3.2156640000000003,0.022368,143.8
32,GPU_2,1442,736,105,good,addition,3.28168,0.038959999999999995,84.41999999999999
33,GPU_2,1465,77,251,bad,addition,3.2512480000000004,0.03016,117.46
34,GPU_2,1470,672,8,good,addition,3.262512,0.022352,145.97
35,GPU_2,1472,544,222,good,addition,3.390976,0.034944,98.34
36,GPU_2,1482,733,67,bad,addition,3.334,0.030351999999999997,115.65
37,GPU_2,1493,470,888,bad,addition,3.331024,0.032,113.54499999999999
38,GPU_2,1518,169,14,bad,addition,3.30952,0.030432,118.76499999999999
39,GPU_2,1548,960,933,good,addition,3.2737600000000002,0.031184,115.61500000000001
40,GPU_2,1553,960,142,good,addition,3.3326399999999996,0.030303999999999998,117.465
41,GPU_2,1573,160,291,good,addition,3.369184,0.022368,151.04
42,GPU_2,1581,1022,126,bad,addition,3.189472,0.022064,144.82999999999998
43,GPU_2,1624,455,60,bad,addition,3.214848,0.022608,142.42000000000002
44,GPU_2,1625,992,29,good,addition,3.252784,0.030368,113.145
45,GPU_2,1638,779,6,bad,addition,3.4898879999999997,0.039232,88.86
46,GPU_2,1667,224,134,good,addition,3.461296,0.030416000000000002,119.08
47,GPU_2,1753,320,441,good,addition,3.337632,0.03064,114.32499999999999
48,GPU_2,1760,567,57,bad,addition,3.249088,0.023168,140.245
49,GPU_2,1762,608,10,good,addition,3.248528,0.03176,108.81
50,GPU_2,1780,640,739,good,addition,3.308016,0.031744,113.19
51,GPU_2,1786,832,5,good,addition,3.346208,0.031152,115.50999999999999
52,GPU_2,1800,563,253,bad,addition,3.201792,0.039744,80.66
53,GPU_2,1834,92,66,bad,addition,3.334192,0.03088,116.74000000000001
54,GPU_2,1863,724,107,bad,addition,3.330032,0.02496,136.115
55,GPU_2,1895,736,439,good,addition,3.2332,0.022656,143.185
56,GPU_2,1915,384,72,good,addition,3.4824640000000002,0.039552000000000004,88.03999999999999
57,GPU_2,1988,896,20,good,addition,3.2523679999999997,0.022080000000000002,147.45999999999998
58,GPU_2,1997,1024,43,good,addition,3.2706239999999998,0.039776000000000006,82.275
59,GPU_2,2036,395,117,bad,addition,3.320688,0.02224,149.45999999999998
60,GPU_2,2061,379,16,bad,addition,3.256064,0.033504,105.03
61,GPU_2,2071,410,87,bad,addition,3.414784,0.022816,149.89499999999998
62,GPU_2,2164,512,932,good,addition,3.646432,0.0316,121.02
63,GPU_2,2168,382,834,bad,addition,3.240176,0.031392,109.795
65,GPU_2,2212,393,93,bad,addition,3.4061440000000003,0.041583999999999996,81.88499999999999
66,GPU_2,2223,887,407,bad,addition,3.439776,0.031247999999999998,115.775
68,GPU_2,2255,106,452,bad,addition,3.282704,0.03616,91.355
70,GPU_2,2276,256,12,good,addition,3.31808,0.02384,139.22
71,GPU_2,2298,832,133,good,addition,3.512336,0.024399999999999998,143.925
73,GPU_2,2353,576,7,good,addition,3.29648,0.031039999999999998,116.595
74,GPU_2,2364,128,73,good,addition,3.2266399999999997,0.02256,143.155
76,GPU_2,2394,285,56,bad,addition,3.681216,0.040128,91.74
77,GPU_2,2463,756,39,bad,addition,3.259296,0.031696,112.38
79,GPU_2,2530,622,97,bad,addition,3.270976,0.0324,111.745
82,GPU_2,2625,614,898,bad,addition,3.211664,0.032416,104.435
83,GPU_2,2652,764,23,bad,addition,3.23872,0.023168,139.985
84,GPU_2,2664,746,247,bad,addition,3.378672,0.032976,109.89
85,GPU_2,2667,480,292,good,addition,3.224128,0.037104,103.41499999999999
88,GPU_2,2794,727,114,bad,addition,3.18192,0.023936,133.11
89,GPU_2,2807,407,83,bad,addition,3.196736,0.040976,78.16
90,GPU_2,2888,864,151,good,addition,3.265376,0.042144,77.555
93,GPU_2,2969,366,68,bad,addition,3.3411999999999997,0.023696000000000002,141.055
94,GPU_2,2986,244,747,bad,addition,3.348496,0.0324,108.565
95,GPU_2,3011,992,509,good,addition,3.1972639999999997,0.023712,134.845
97,GPU_2,3030,832,63,good,addition,3.629728,0.034176,114.64500000000001
98,GPU_2,3045,595,58,bad,addition,3.247936,0.03296,105.68
