Index,GPU,ProblemSize,ThreadsPerBlock,NumBlocks,Alignment,Operation,Avg_SingleThreadTime(sec),Avg_KernelTime(sec),Avg_Speedup
1,GPU_2,100,314,1,bad,multiplication,0.003954,8.000000000000001e-06,563.01
2,GPU_2,101,516,1,bad,multiplication,0.004077000000000001,6.5000000000000004e-06,660.5600000000001
3,GPU_2,102,453,1,bad,multiplication,0.004202,6e-06,700.72
4,GPU_2,103,480,2,good,multiplication,0.004325,6.5000000000000004e-06,693.675
5,GPU_2,104,512,2,good,multiplication,0.004445,6.5000000000000004e-06,724.145
6,GPU_2,105,327,2,bad,multiplication,0.0045775,7e-06,664.12
7,GPU_2,106,336,2,bad,multiplication,0.004706500000000001,7.5e-06,646.795
8,GPU_2,107,51,3,bad,multiplication,0.0048415,8e-06,591.005
9,GPU_2,108,73,2,bad,multiplication,0.004983,5e-06,964.435
10,GPU_2,109,98,4,bad,multiplication,0.0051185,7.000000000000001e-06,761.38
11,GPU_2,110,490,1,bad,multiplication,0.0052595,5.5e-06,911.395
12,GPU_2,111,552,1,bad,multiplication,0.0054035,8.5e-06,624.6
13,GPU_2,113,78,4,bad,multiplication,0.005698,7.000000000000001e-06,934.635
14,GPU_2,114,729,2,bad,multiplication,0.00598,6e-06,1014.1
15,GPU_2,115,800,2,good,multiplication,0.0059995,5.5e-06,1085.045
16,GPU_2,116,395,2,bad,multiplication,0.0061685,1.3000000000000001e-05,547.255
17,GPU_2,118,832,2,good,multiplication,0.006482,5.5e-06,1232.235
18,GPU_2,119,704,2,good,multiplication,0.006646,6.5000000000000004e-06,1099.5349999999999
19,GPU_2,120,352,2,good,multiplication,0.0068115,9.5e-06,711.34
20,GPU_2,121,160,1,good,multiplication,0.0069825,7.000000000000001e-06,1118.51
21,GPU_2,122,421,1,bad,multiplication,0.007155,7.500000000000001e-06,1134.045
22,GPU_2,123,352,1,good,multiplication,0.0073515,6.5000000000000004e-06,1246.6
23,GPU_2,124,64,4,good,multiplication,0.007511,8.000000000000001e-06,1027.01
24,GPU_2,125,220,1,bad,multiplication,0.007701,7.5e-06,1138.255
25,GPU_2,127,736,2,good,multiplication,0.008069,7e-06,1143.115
26,GPU_2,128,138,1,bad,multiplication,0.0089735,6e-06,1525.15
27,GPU_2,129,832,2,good,multiplication,0.008449499999999999,6e-06,1505.125
28,GPU_2,130,1024,2,good,multiplication,0.0086435,7.500000000000001e-06,1261.85
29,GPU_2,131,416,2,good,multiplication,0.008846,5.5e-06,1571.955
30,GPU_2,132,937,1,bad,multiplication,0.009063,9e-06,1041.615
31,GPU_2,133,210,1,bad,multiplication,0.009259,5.5e-06,1646.585
32,GPU_2,134,93,3,bad,multiplication,0.009479,7.5e-06,1336.12
33,GPU_2,135,390,2,bad,multiplication,0.009684,6e-06,1724.695
34,GPU_2,137,32,10,good,multiplication,0.010109,2.6000000000000002e-05,390.04
35,GPU_2,138,690,1,bad,multiplication,0.010332000000000001,7.5e-06,1473.5949999999998
36,GPU_2,139,993,1,bad,multiplication,0.0105665,7.000000000000001e-06,1554.75
37,GPU_2,141,902,2,bad,multiplication,0.0110185,7.5e-06,1582.535
38,GPU_2,142,319,2,bad,multiplication,0.011266499999999999,7.5e-06,1599.03
39,GPU_2,143,192,1,good,multiplication,0.0114905,5.5e-06,2064.28
40,GPU_2,144,576,2,good,multiplication,0.011739,9e-06,1296.8600000000001
41,GPU_2,145,576,2,good,multiplication,0.0119825,6e-06,2098.205
42,GPU_2,146,725,2,bad,multiplication,0.012320999999999999,9e-06,1408.185
43,GPU_2,147,973,1,bad,multiplication,0.0125295,7.5e-06,1745.055
44,GPU_2,148,911,2,bad,multiplication,0.012731,7.5e-06,1856.245
