Index,GPU,ProblemSize,ThreadsPerBlock,NumBlocks,Alignment,Operation,Avg_SingleThreadTime(sec),Avg_KernelTime(sec),Avg_Speedup
1,GPU_2,1030,448,4,good,reduction,6e-06,1.2499999999999999e-05,0.47
2,GPU_2,1035,224,10,good,reduction,6e-06,1.2e-05,0.49
3,GPU_2,1041,512,5,good,reduction,5e-06,1.2499999999999999e-05,0.395
4,GPU_2,1048,47,33,bad,reduction,5e-06,1.75e-05,0.315
5,GPU_2,1053,640,4,good,reduction,6e-06,1.2e-05,0.49
6,GPU_2,1055,320,8,good,reduction,5.5e-06,1.35e-05,0.4
7,GPU_2,1058,352,6,good,reduction,5.5e-06,1.2499999999999999e-05,0.435
8,GPU_2,1059,128,14,good,reduction,6e-06,1.7e-05,0.385
9,GPU_2,1071,657,4,bad,reduction,5.5e-06,1.8e-05,0.325
10,GPU_2,1073,384,3,good,reduction,5.5e-06,1.7e-05,0.345
11,GPU_2,1081,882,4,bad,reduction,6e-06,1.3e-05,0.45
12,GPU_2,1108,75,26,bad,reduction,5.5e-06,1.65e-05,0.36
13,GPU_2,1125,224,6,good,reduction,6e-06,1.6000000000000003e-05,0.39
14,GPU_2,1133,1024,4,good,reduction,5.5e-06,1.8e-05,0.325
15,GPU_2,1137,384,4,good,reduction,6e-06,1.3e-05,0.45
16,GPU_2,1138,680,4,bad,reduction,6e-06,1.85e-05,0.35
17,GPU_2,1140,736,4,good,reduction,6e-06,1.7e-05,0.385
18,GPU_2,1145,928,4,good,reduction,6e-06,1.35e-05,0.435
19,GPU_2,1157,175,8,bad,reduction,6e-06,1.85e-05,0.35
20,GPU_2,1194,480,6,good,reduction,6.5000000000000004e-06,1.75e-05,0.39
21,GPU_2,1204,256,5,good,reduction,6e-06,1.2499999999999999e-05,0.47
22,GPU_2,1212,896,4,good,reduction,6.5000000000000004e-06,1.75e-05,0.39
23,GPU_2,1237,864,3,good,reduction,6.5000000000000004e-06,1.85e-05,0.375
24,GPU_2,1242,207,7,bad,reduction,7e-06,1.8e-05,0.42000000000000004
25,GPU_2,1243,576,6,good,reduction,6.5000000000000004e-06,2.2e-05,0.30500000000000005
26,GPU_2,1245,96,16,good,reduction,6e-06,1.2e-05,0.49
27,GPU_2,1253,288,9,good,reduction,6.5000000000000004e-06,1.3e-05,0.49
28,GPU_2,1255,881,2,bad,reduction,6e-06,1.35e-05,0.435
29,GPU_2,1258,793,3,bad,reduction,6e-06,1.8e-05,0.36
30,GPU_2,1273,232,11,bad,reduction,6e-06,1.8e-05,0.36
31,GPU_2,1275,497,4,bad,reduction,7e-06,2.05e-05,0.40499999999999997
32,GPU_2,1295,992,2,good,reduction,6.5000000000000004e-06,1.35e-05,0.475
33,GPU_2,1302,608,4,good,reduction,6.5000000000000004e-06,2.65e-05,0.255
34,GPU_2,1307,672,3,good,reduction,6e-06,1.8e-05,0.35
35,GPU_2,1321,896,2,good,reduction,6e-06,1.85e-05,0.35
36,GPU_2,1324,480,4,good,reduction,6e-06,1.2e-05,0.49
37,GPU_2,1339,224,6,good,reduction,6.5000000000000004e-06,2.2e-05,0.30500000000000005
38,GPU_2,1340,832,3,good,reduction,6e-06,1.7500000000000002e-05,0.33999999999999997
39,GPU_2,1368,296,10,bad,reduction,7e-06,1.8e-05,0.41000000000000003
