Index,GPU,ProblemSize,ThreadsPerBlock,NumBlocks,Alignment,Operation,Avg_SingleThreadTime(sec),Avg_KernelTime(sec),Avg_Speedup
1,GPU_2,1030,448,4,good,subtraction,6e-06,0.002473,0.0
2,GPU_2,1035,224,10,good,subtraction,5.5e-06,0.002468,0.0
3,GPU_2,1041,512,5,good,subtraction,6e-06,0.002466,0.0
4,GPU_2,1048,47,33,bad,subtraction,5.5e-06,0.002438,0.0
5,GPU_2,1053,640,4,good,subtraction,5.5e-06,0.0024815,0.0
6,GPU_2,1055,320,8,good,subtraction,6e-06,0.0024809999999999997,0.0
7,GPU_2,1058,352,6,good,subtraction,5.5e-06,0.002554,0.0
8,GPU_2,1059,128,14,good,subtraction,5e-06,0.0024809999999999997,0.0
9,GPU_2,1071,657,4,bad,subtraction,5.5e-06,0.002476,0.0
10,GPU_2,1073,384,3,good,subtraction,6e-06,0.0024785,0.0
11,GPU_2,1081,882,4,bad,subtraction,6e-06,0.0025380000000000003,0.0
12,GPU_2,1108,75,26,bad,subtraction,5.5e-06,0.002478,0.0
13,GPU_2,1125,224,6,good,subtraction,6e-06,0.00248,0.0
14,GPU_2,1133,1024,4,good,subtraction,5e-06,0.00255,0.0
15,GPU_2,1137,384,4,good,subtraction,6e-06,0.0024795,0.0
16,GPU_2,1138,680,4,bad,subtraction,6e-06,0.0024725,0.0
17,GPU_2,1140,736,4,good,subtraction,5.5e-06,0.0024775,0.0
18,GPU_2,1145,928,4,good,subtraction,6e-06,0.0024644999999999997,0.0
19,GPU_2,1157,175,8,bad,subtraction,6e-06,0.0024825000000000003,0.0
20,GPU_2,1194,480,6,good,subtraction,6e-06,0.0024745,0.0
21,GPU_2,1204,256,5,good,subtraction,6e-06,0.002556,0.0
22,GPU_2,1212,896,4,good,subtraction,6e-06,0.0024704999999999996,0.0
23,GPU_2,1237,864,3,good,subtraction,6e-06,0.002473,0.0
24,GPU_2,1242,207,7,bad,subtraction,6.5000000000000004e-06,0.002469,0.0
25,GPU_2,1243,576,6,good,subtraction,6e-06,0.0024755000000000003,0.0
26,GPU_2,1245,96,16,good,subtraction,7e-06,0.002482,0.0
27,GPU_2,1253,288,9,good,subtraction,6e-06,0.002463,0.0
28,GPU_2,1255,881,2,bad,subtraction,6e-06,0.0024785,0.0
